hey,about_yumyum
how much do you weigh,about_yumyum
how old are you,about_yumyum
how tall are you,about_yumyum
i want jokes,about_yumyum
I want to date you,about_yumyum
know any jokes,about_yumyum
tell me your favorite color,about_yumyum
what are you called,about_yumyum
what do i call you,about_yumyum
what is your favourite colour,about_yumyum
what is your favourite music,about_yumyum
what is your name,about_yumyum
what music do you like,about_yumyum
your name,about_yumyum
what's your,about_yumyum
what's your favorite,about_yumyum
whats your favorite color,about_yumyum
whats your favorite movie,about_yumyum
what's your name,about_yumyum
whats your name,about_yumyum
what types of food do you like,about_yumyum
when were you born,about_yumyum
do you hate,about_yumyum
Do you like,about_yumyum
do you love,about_yumyum
let's see! what do we have for today?,available_ingredients
what ingredients do we have?,available_ingredients
make me a summary of what I have,available_ingredients
tell me what ingredients I have in the fridge,available_ingredients
I have something to cook?,available_ingredients
I have something to eat?,available_ingredients
I have eaten everything already?,available_ingredients
Is there something in the fridge?,available_ingredients
What can I cook with today?,available_ingredients
What is still left?,available_ingredients
What do I have in the fridge?,available_ingredients
why should I use you,capabilities
what things can you do,capabilities
what should i ask,capabilities
what question,capabilities
What makes you different from Siri or Google,capabilities
what else,capabilities
what do you know,capabilities
what do you have?,capabilities
What do you have,capabilities
what did you learn,capabilities
what care you capablities,capabilities
what capabilities you have,capabilities
what can you help me with,capabilities
what can you do for me,capabilities
what canyou do,capabilities
what can you do,capabilities
What can i say,capabilities
what can I do,capabilities
What ca I ask?,capabilities
What are your functions?,capabilities
what are your capabilities Watson,capabilities
what are your benefits,capabilities
what are you capable of,capabilities
What are you,capabilities
tell me what you can do,capabilities
Tell me what to do.,capabilities
tell me what things you can do,capabilities
tell me a joke,capabilities
so what did you learn?,capabilities
ok watson,capabilities
need help,capabilities
lets go,capabilities
i want to see how this demo works,capabilities
how close is,capabilities
how can you help me,capabilities
How are you going to help me,capabilities
hi where am i,capabilities
Hi! what could you do ?,capabilities
Hello can i have some help,capabilities
do you know something about cognitive?,capabilities
Do you do anything else?,capabilities
do you do anything else,capabilities
can you speak something with me?,capabilities
can you read me,capabilities
can you learn something new?,capabilities
Can you hear me?,capabilities
can you harm me?,capabilities
can you do this?,capabilities
CAN YOU DO OTHER THING?,capabilities
can you do more than that?,capabilities
can you do it?,capabilities
can you do coding ?,capabilities
Can you do anything that helps me drive?,capabilities
can you direct me please?,capabilities
can u please do that,capabilities
can i training you?,capabilities
Can I teach you,capabilities
can I manipulate the,capabilities
but can I ask you,capabilities
"yes, of course, please, tell me how to cook potatoes with meat",get_recipe
i want to cook a salad,get_recipe
i want to cook this,get_recipe
i feel like eating,get_recipe
i want to cook lentils,get_recipe
get the recipe,get_recipe
"find this, please",get_recipe
let see you find this,get_recipe
this is what I have seen,get_recipe
look for the recipe,get_recipe
search it,get_recipe
find it for me,get_recipe
find recipe,get_recipe
we feel like that,get_recipe
You know how to cook this,get_recipe
You know how this is cooked?,get_recipe
what this,get_recipe
What if today like this,get_recipe
What do you think about cooking this,get_recipe
"Watson, tell me how to do",get_recipe
this dish,get_recipe
Tell me how to cook this,get_recipe
Look how good it looks!,get_recipe
look for this recipe for this,get_recipe
